02-Mar-2018 11:02:52

Rotor = T-Motor 18 inch    Motor = Scorpion SII-4020-420KV    Rotation = CCW

Tunnel RPM = 550.0    AoA = 0 deg   Motor Speed = 3000 rpm

Scan Rate = 2000 Hz   Number of Readings = 5000   Pressure = 29.58 inHg  

  Time(s)       Temp(f)    Velocity(m/s)    Position(deg)     Fx(N)         Fy(N)         Fz(N)        Tx(Nm)        Ty(Nm)       Tz(Nm) 
  0.190137     72.813392      12.188171       167.527354      5.063410     -9.468474      10.319242      1.035989     -0.640976    -0.176630  
  0.190507     72.876525      12.190199       176.582550      6.580692     -7.438441      4.687514      0.983296     -0.628127    -0.218715  
  0.190909     73.065907      12.189753       185.068826      1.298424     -5.710302      13.050960      0.852784     -0.468721    -0.208778  
  0.191312     73.444676      12.204542       193.507707     -3.511409     -0.633771      11.370442      0.797493     -0.342993    -0.362969  
  0.191714     73.318422      12.203096       203.937775      0.654338     -5.927034      23.294830      0.604792     -0.247423    -0.250645  
  0.192100     73.381549      12.206432       212.637392     -1.216888     -1.987126      18.604370      0.495623     -0.204194    -0.287404  
  0.192486     73.223728      12.212457       221.763708      3.911639     -1.863476      18.841506      0.395934     -0.234610    -0.176872  
  0.192894     73.318422      12.221371       230.605564      9.199354     -1.307009      17.293425      0.276292     -0.346984    -0.317793  
  0.193306     73.255295      12.229774       239.874101      12.955009      9.535935      18.028741      0.290856     -0.399328    -0.200486  
  0.193712     73.192161      12.231655       248.526323      15.805043      4.723509      11.796002      0.101520     -0.556852    -0.198648  
  0.194098     73.444676      12.250183       257.628915      11.374170      13.151929      13.054081      0.147127     -0.544169    -0.223191  
  0.194485     73.539370      12.210851       266.541890      5.559830      11.302241      13.071708      0.235887     -0.526128    -0.302449  
  0.194888     73.476243      12.257052       274.530365     -2.709576      7.532073      11.151087      0.332949     -0.552173    -0.290899  
  0.195291     73.539370      12.264281       283.704094     -8.634659      8.505522      15.043270      0.529205     -0.550806    -0.192628  
  0.195681     73.665625      12.263131       292.166663     -19.080503      1.987460      12.914661      0.643991     -0.465065    -0.195653  
  0.196063     73.760319      12.262919       302.170068     -19.166738      0.869318      9.577010      0.872485     -0.522070    -0.325217  
  0.196445     73.476243      12.259654       310.632619     -17.187298     -3.756405      11.071216      1.015775     -0.547503    -0.272846  
  0.196827     72.971213      12.253846       320.944172     -11.278640     -15.591207      10.960266      0.997214     -0.572757    -0.162235  
  0.197205     73.476243      12.250545       330.094213     -2.602146     -10.360775      14.419504      1.139172     -0.535643    -0.144578  
  0.197590     72.971213      12.296672       339.244218     -1.607443     -14.749694      7.040304      1.050987     -0.544030    -0.260134  
  0.197973     72.844958      12.230275       348.394223      1.339745     -8.444911      11.909699      1.008023     -0.464007    -0.308059  
  0.198353     72.939652      12.222242       357.520522      9.039237     -7.126130      14.180350      0.867037     -0.540002    -0.323726  
